States,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,
Andaman & Nicobar Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,2,0,2,0,0,5,1,3,12,6,2,0,0,9,9,0,8,9,20,1,3,0,3,0,6,8,4,7,4,2,4,12,4,5,0,13,12,16,21,14,49,29,70,75,148,61,40,80,95,108,96,98,99,96,108,109,106,0,1735
Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,4,0,0,2,0,4,4,0,15,7,23,27,4,24,21,4,26,60,4,23,29,34,82,38,47,36,65,140,51,62,45,38,73,58,86,50,60,101,103,96,69,43,41,26,48,62,51,125,48,68,101,55,51,34,40,50,65,36,75,29,42,48,110,99,123,94,131,69,128,128,131,133,206,196,128,157,187,209,208,284,428,324,279,477,325,319,376,414,498,825,1356,1053,1040,1199,1019,1052,1003,911,1015,905,1465,1127,1338,1346,6553,5428,2380,3320,3046,3257,3064,2784,4618,3840,12750,6272,5786,6953,8729,8516,7594,9151,9097,6924,9113,6676,9499,9779,10414,10117,7866,9211,8061,8846,8827,8593,252638
Arunanchal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,3,1,3,1,6,1,16,0,4,7,5,6,1,1,4,5,4,1,2,14,13,4,11,0,5,13,7,8,0,0,22,99,8,3,18,11,20,58,36,77,69,43,60,150,91,51,27,67,42,105,35,81,104,52,110,42,25,59,32,21,37,85,56,73,71,32,0,2125
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,5,2,0,0,0,0,0,8,0,0,2,0,4,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,1,0,0,7,6,0,2,1,5,0,25,16,22,38,22,99,53,76,46,50,79,48,148,312,152,184,152,221,155,245,206,231,206,218,136,202,161,197,196,75,214,567,274,245,314,184,275,221,416,690,508,388,397,421,701,578,468,522,757,715,666,551,1060,858,1072,938,1317,1349,1062,1294,985,1362,1216,1214,1248,1277,1085,942,1044,993,1471,1332,1585,1782,1734,1261,1487,2136,2174,2310,1593,1929,1519,1560,2054,2772,2476,0,65597
Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,0,0,0,11,2,1,0,8,0,5,0,0,0,0,2,0,1,11,0,8,0,20,14,19,7,3,31,0,60,49,51,36,23,5,18,12,28,33,0,44,0,54,0,58,24,49,31,67,118,132,159,102,209,221,62,222,95,113,65,107,137,228,164,152,230,370,289,251,345,205,185,137,269,264,136,260,79,374,189,261,226,218,170,267,183,217,277,277,249,324,203,251,459,740,962,411,655,514,568,896,774,826,938,1206,1135,1083,1873,1688,1788,1536,1376,1284,1169,1977,1823,1164,1871,2252,1610,1450,2445,2408,2642,2824,2900,3029,2439,2800,3368,3891,4140,4034,3838,3585,3678,3531,95372
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0,3,0,4,2,0,7,3,11,0,3,3,79,42,0,1,0,8,0,0,2,0,10,0,15,0,0,8,51,0,1,11,0,4,4,2,0,0,6,1,4,0,9,1,0,6,0,0,7,6,0,1,13,15,3,22,4,2,0,6,0,1,1,5,5,4,6,23,13,17,4,5,3,30,0,8,5,4,20,17,3,24,12,36,20,16,15,8,9,0,62,43,52,32,100,11,8,53,15,27,19,46,60,108,39,36,45,1471
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,1,0,0,0,0,1,0,3,4,6,1,1,0,0,0,3,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,5,6,4,1,1,1,0,2,1,0,0,0,0,3,2,0,3,12,4,0,17,2,12,7,9,40,36,25,28,7,69,12,4,70,123,87,88,124,91,165,103,103,63,53,66,40,74,128,156,52,125,88,100,53,59,52,112,52,66,84,107,68,125,42,83,49,73,49,127,61,146,117,169,170,116,157,180,116,261,228,267,197,285,309,380,381,265,357,258,217,231,263,227,208,222,269,150,199,189,189,363,249,338,554,283,372,12394
Dadara & Nagar Havelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3,2,0,12,1,0,0,3,8,12,6,13,6,7,27,3,21,9,17,16,10,11,10,19,12,31,42,33,28,21,22,22,14,15,10,15,23,18,13,21,32,51,19,17,41,30,49,62,54,41,36,41,51,28,50,41,35,38,31,72,47,49,39,48,46,39,50,1702
NCT of Delhi,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,8,0,0,4,1,4,2,0,1,3,0,10,11,20,135,83,141,180,113,84,49,12,8,0,201,14,2,73,89,106,69,37,74,389,89,0,49,60,383,346,187,473,408,276,283,265,442,375,330,370,273,231,183,310,231,351,229,403,268,497,299,356,417,349,335,358,504,384,486,667,1547,878,604,73,957,3884,2228,7725,1719,3589,2711,2124,3328,2326,2210,3306,3628,2113,1644,3015,2617,2632,3083,749,2129,3982,4027,2468,2998,2276,1344,1924,2463,1994,1608,1973,1860,1784,1200,1532,1415,1866,2137,1807,1497,1135,1126,1091,1206,1201,1186,937,972,890,1008,1108,1130,1225,1070,727,1021,913,790,1143,1310,740,1146,1320,1059,1082,1230,144138
Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,9,9,1,3,1,2,6,7,0,0,8,0,0,2,0,0,0,2,1,4,11,0,11,13,9,11,6,17,53,84,46,35,50,58,46,72,74,64,38,53,111,125,95,51,66,74,81,59,53,67,67,143,129,92,180,143,88,92,114,210,182,230,133,185,189,221,206,227,230,208,238,173,166,142,207,193,213,272,161,271,245,331,287,283,298,357,350,477,479,10019
